=== B13/B14 区线段 (x170-270, y95-255) ===
  (  165.60, 142.92)->(  172.80, 142.92)
  (  165.60, 204.12)->(  172.80, 204.12)
  (  255.60, 214.92)->(  262.80, 214.92)
  (  255.60, 211.32)->(  262.80, 211.32)
  (  259.20, 214.92)->(  259.20, 222.12)
  (  259.20, 211.32)->(  259.20, 204.12)
  (  266.82, 220.87)->(  266.65, 221.04)
  (  266.65, 221.04)->(  266.14, 221.21)
  (  266.14, 221.21)->(  265.79, 221.21)
  (  265.79, 221.21)->(  265.28, 221.04)
  (  265.28, 221.04)->(  264.94, 220.70)
  (  264.94, 220.70)->(  264.76, 220.36)
  (  264.76, 220.36)->(  264.59, 219.67)
  (  264.59, 219.67)->(  264.59, 219.16)
  (  264.59, 219.16)->(  264.76, 218.47)
  (  264.76, 218.47)->(  264.94, 218.13)
  (  264.94, 218.13)->(  265.28, 217.79)
  (  265.28, 217.79)->(  265.79, 217.61)
  (  265.79, 217.61)->(  266.14, 217.61)
  (  266.14, 217.61)->(  266.65, 217.79)
  (  266.65, 217.79)->(  266.82, 217.96)
  (  269.91, 218.81)->(  269.91, 221.21)
  (  269.05, 217.44)->(  268.19, 220.01)
  (  268.19, 220.01)->(  270.42, 220.01)
  (  266.65, 228.41)->(  264.59, 228.41)
  (  265.62, 228.41)->(  265.62, 224.81)
  (  265.62, 224.81)->(  265.28, 225.33)
  (  265.28, 225.33)->(  264.94, 225.67)
  (  264.94, 225.67)->(  264.59, 225.84)
  (  268.88, 224.81)->(  269.22, 224.81)
  (  269.22, 224.81)->(  269.56, 224.99)
  (  269.56, 224.99)->(  269.73, 225.16)
  (  269.73, 225.16)->(  269.91, 225.50)
  (  269.91, 225.50)->(  270.08, 226.19)
  (  270.08, 227.04)->(  269.91, 227.73)
  (  269.91, 227.73)->(  269.73, 228.07)
  (  269.73, 228.07)->(  269.56, 228.24)
  (  269.56, 228.24)->(  269.22, 228.41)
  (  269.22, 228.41)->(  268.88, 228.41)
  (  268.88, 228.41)->(  268.53, 228.24)
  (  268.53, 228.24)->(  268.36, 228.07)
  (  268.36, 228.07)->(  268.19, 227.73)
  (  268.19, 227.73)->(  268.02, 227.04)
  (  268.02, 227.04)->(  268.02, 226.19)
  (  268.02, 226.19)->(  268.19, 225.50)
  (  268.19, 225.50)->(  268.36, 225.16)
  (  268.36, 225.16)->(  268.53, 224.99)
  (  268.53, 224.99)->(  268.88, 224.81)
  (  252.00, 229.32)->(  266.40, 229.32)
  (  254.16, 231.48)->(  264.24, 231.48)
  (  256.32, 233.64)->(  262.08, 233.64)
  (  258.48, 235.80)->(  259.92, 235.80)
